author,publicationPlace,publicationYear,sourceLanguage,targetLanguage
[tł. Michał Sufin].,Ożarów Mazowiecki,2014,eng,pol
"Marinelli, Carol",Toronto,2014,eng,pol
[tł. Katarzyna Dmowska].,Ożarów Mazowiecki,2014,eng,pol
[tł. Krzysztof M. Wiśniewski].,Ożarów Mazowiecki,2014,eng,pol
"Roberts, Alison",Toronto,2014,eng,pol
"Maynard, Janice",Toronto,2014,eng,pol
[tł. Anna Purska].,Ożarów Mazowiecki,2014,eng,pol
[tł. Katarzyna Dmowska].,Ożarów Mazowiecki,2014,eng,pol
[tł. Wojciech Tyszka].,Warszawa,2014,,pol
[tł. Wojciech Tyszka].,Warszawa,2014,,pol
[tł. Michał Sufin].,Ożarów Mazowiecki,2014,,pol
"Palmer, Diana",Warszawa,2014,eng,pol
"Lang, Kimberly",Toronto,2014,eng,pol
"Ellison, J. T.",Warszawa,2014,eng,pol
"McPhee, Margaret",Toronto,2014,eng,pol
"Roberts, Nora",Warszawa,2014,eng,pol
"Leclaire, Day",Toronto,2014,eng,pol
"Whitiker, Gail",Toronto,2014,eng,pol
"Milburne, Melanie",Toronto,2014,eng,pol
"McAllister, Anne",Toronto,2014,eng,pol
"Coffman, Elaine",Toronto,2014,eng,pol
[tł. Marta Machałowska].,Warszawa,2014,,pol
"Sheldon, Charles Monroe",Warszawa,2014,eng,pol
"Astley, Neville",Warszawa,2013,eng,pol
"David, Ernst",Wrocław,2014,ger,ger
,Warszawa,2014,eng,pol
"Sharon Kendrick, Sarah Morgan",Warszawa,2014,eng,pol
[tł. Marta Machałowska].,Warszawa,2014,,pol
[aut. pomysłu Sanjay Dhiman].,Warszawa,2014,eng,pol
[tł. Agata Topolewska,Warszawa,2013,eng,pol
[tł. Agata Topolewska,Warszawa,2013,eng,pol
[tł. Agata Topolewska,Warszawa,2013,eng,pol
[aut. pomysłu Sanjay Dhiman].,Warszawa,2014,eng,pol
[aut. pomysłu Sanjay Dhiman].,Warszawa,2014,eng,pol
[tł. Agata Topolewska,Warszawa,2013,eng,pol
"Volke, Gordon.",Ożarów Mazowiecki,,eng,pol
[aut. pomysłu Sanjay Dhiman].,Warszawa,2013,eng,pol
[tł. Agata Topolewska,Warszawa,2014,eng,pol
[tł. Agata Topolewska,Warszawa,2013,eng,pol
[aut. pomysłu. Sanjay Dhiman].,Warszawa,2013,eng,pol
[aut. pomysłu Danjay Dhiman,Warszawa,2013,eng,pol
[aut. pomysłu Sanjay Dhiman,Warszawa,2014,eng,pol
[tł. Agata Topolewska,Warszawa,2014,eng,pol
[aut. pomysłu Sanjay Dhiman].,Warszawa,2013,eng,pol
[aut. pomysłu Sanjay Dhiman].,Warszawa,2013,eng,pol
[tł. Agata Topolewska,Warszawa,2013,eng,pol
[aut. pomysłu Sanjay Dhiman].,Warszawa,2013,eng,pol
[aut. pomysłu Sanjay Dhiman].,Warszawa,2013,eng,pol
[tł. Agata Topolewska,Warszawa,2014,eng,pol
[tł. Agata Topolewska,Warszawa,2013,eng,pol
[tł. Agata Topolewska,Warszawa,2014,eng,pol
[tł. Agata Topolewska,Warszawa,2013,eng,pol
"Márai, Sándor",Warszawa,2014,hun,pol
ed. by Ursula Phillips with the ass. of Knut Andreas Grimstad and Kris Van Heuckelom.,Zürich,2013,pol,eng
[tł. Agata Topolewska,Warszawa,2013,eng,pol
"Márai, Sándor",Warszawa,2014,hun,pol
[tł. Agata Topolewska,Warszawa,2014,eng,pol
[aut. pomysłu Sanjay Dhiman].,Warszawa,2014,eng,pol
[aut. pomysłu Sanjay Dhiman].,Warszawa,2013,eng,pol
[aut. pomysłu Sanjay Dhiman].,Warszawa,2013,eng,pol
[ aut. pomysłu Sanjay Dhiman].,Warszawa,2013,eng,pol
[aut. pomysłu Sanjay Dhiman].,Warszawa,2014,eng,pol
[ aut. pomysłu Sanjay Dhiman].,Warszawa,2013,eng,pol
[aut. pomysłu Sanjay Dhiman].,Warszawa,2013,eng,pol
[tł. Agata Topolewska,Warszawa,2013,eng,pol
[aut. pomysłu Sanjay Dhiman].,Warszawa,2013,eng,pol
[aut. pomysłu Sanjay Dhiman].,Warszawa,2013,eng,pol
[aut. pomysłu Sanjay Dhiman].,Warszawa,2013,eng,pol
[aut. pomysłu Sanjay Dhiman].,Warszawa,2014,eng,pol
[aut. pomysłu Sanjay Dhiman,Warszawa,2013,eng,pol
[aut. pomysłu Sanjay Dhiman,Warszawa,2013,eng,pol
[aut. pomysłu Sanjay Dhiman].,Warszawa,2013,eng,pol
"Stone, Rex",Warszawa,2013,eng,pol
"Stone, Rex",Warszawa,2013,eng,pol
"Stone, Rex",Warszawa,2013,eng,pol
"Läckberg, Camilla",Warszawa,2014,swe,pol
"Läckberg, Camilla",Warszawa,2014,swe,pol
"Shakespeare, William",Gdańsk,2013,eng,csb
"Moore, Jodi",Warszawa,2013,eng,pol
pod redakcją Miłosławy Borzyszkowskiej-Szewczyk.,Gdańsk,2013,ger,pol
"Woodsmall, Cindy",Kraków,2014,eng,pol
"Hölderlin, Friedrich",Pułtusk,2014,ger,pol
"Andersen, Hans Christian",Kielce,2014,dan,pol
"zebr., przeł. i oprac. Jerzy Marek Łapo",,2014,ger,pol
[oprac. tekstu Rossana Guarnieri,Kielce,2014,ita,pol
"Komorowska, Maria Magdalena",Vilnius,2013,pol,lit
"Dobos, Edit",Kielce,2014,hun,pol
[red. Jerzy Derenda,Bydgoszcz,2013,ger,pol
"Dobos, Edit",Kielce,2014,hun,pol
"wybór i przekł. z jęz. czes. Zofia Bałdyga, z jęz. słoweń. Agnieszka Będkowska-Kopczyk, z jęz. ukr. Aneta Kamińska.",Katowice,2013,cze,pol
"Dobos, Edit",Kielce,2014,hun,pol
przeł. i oprac. Wojciech Kunicki,Wrocław,2013,ger,pol
"Pollak, Roman",Poznań,2013,ita,pol
"Collins, Jackie",Warszawa,2014,eng,pol
"Duffy, Erin",Warszawa,2014,eng,pol
"Stap, Sophie van der",Warszawa,2014,dut,pol
"ʿOz, Amos",Warszawa,2014,eng,pol
"Marsoli, Lisa Ann",Warszawa,2014,eng,pol
"Jones, Belinda",Warszawa,2014,eng,pol
"Mysen, Jane",Warszawa,2014,nor,pol
"Jordan, Apple",Warszawa,2014,eng,pol
"Amoruso, Elisa",Warszawa,2014,ita,pol
"Russell, Craig",Warszawa,2014,eng,pol
"Dunn, Carola",Warszawa,2014,eng,pol
"Dunn, Carola",Warszawa,2014,eng,pol
"Dunn, Carola",Warszawa,2014,eng,pol
adapt. Agnieszka Sprycha.,Warszawa,2014,eng,pol
"Webb, Holly",Kraków,2014,eng,pol
"Janisch, Heinz",Kraków,2013,ger,pol
"Vandermeer, Jeff",Kraków,2014,eng,pol
"Janisch, Heinz",Kraków,2013,ger,pol
"Pastis, Stephan",Kraków,2014,eng,pol
"Tolstoj, Aleksej Konstantinovič",Bydgoszcz,2014,rus,pol
"Gortner, C. W.",Kraków,2014,eng,pol
"Mafi, Tahereh",Kraków,2014,eng,pol
"Shortridge, Jennie",Kraków,2014,eng,pol
"Majorczyk, Anna",Kraków,2013,pol,fre
"Pastis, Stephan",Kraków,2014,eng,pol
"Majorczyk, Anna",Kraków,2013,pol,ita
"Pastis, Stephan",Kraków,2014,eng,pol
"Martínez de Pisón, Ignacio",Kraków,2013,spa,pol
"Majorczyk, Anna",Kraków,2013,pol,rus
"Kiela, Artur",Kraków,2013,pol,ita
"Kiela, Artur",Kraków,2013,pol,fre
pod red. Hanny Gosk i Doroty Kołodziejczyk.,Kraków,2014,mul,pol
"Szabó, Magda",Kraków,2013,hun,pol
"Kiela, Artur",Kraków,2013,pol,rus
"Piumini, Roberto",Kraków,2013,ita,pol
[wiersze Anna Sobiech,Warszawa,2013,,pol
"Bracken, Alexandra",Kraków,2014,eng,pol
"Arrou-Vignod, Jean-Philippe",Kraków,2014,fre,pol
"Bauermeister, Erica",Kraków,2014,eng,pol
"Lofting, Hugh",Kraków,2014,eng,pol
"Hoshino, Lily",Warszawa,2014,jpn,pol
"Mori, Kaoru",Warszawa,2014,jpn,pol
"Mori, Kaoru",Warszawa,2014,jpn,pol
"Dumas, Alexandre",Kraków,2014,fre,pol
"Anda, Sadanatsu",Warszawa,2014,jpn,pol
Kyugo,Warszawa,2014,jpn,pol
"Evans, Richard Paul",Kraków,2014,eng,pol
"Mochizuki, Jun",Warszawa,2014,jpn,pol
"Grisham, John",Warszawa,2014,eng,pol
"Miwa, Shirō",Warszawa,2014,jpn,pol
"Arakawa, Hiromu",Warszawa,2014,jpn,pol
"Kłodziński, Jan",,2014,eng,pol
"McKee, David",Poznań,2014,eng,pol
"McKee, David",Poznań,2014,eng,pol
"Harris, Thomas",Warszawa,2014,eng,pol
"Grisham, John",Warszawa,2014,eng,pol
"Palacio, R. J.",Warszawa,2014,eng,pol
"Hurwitz, Gregg Andrew",Warszawa,2014,eng,pol
"Carrisi, Donato",Warszawa,2014,ita,pol
"Brooks, Geraldine",Warszawa,2013,eng,pol
"Cronin, Justin",Warszawa,2014,eng,pol
"Cronin, Justin",Warszawa,2014,eng,pol
"Sparks, Nicholas",Warszawa,2014,eng,pol
"Kapuściński, Ryszard",Milano,2014,pol,ita
Hanokage,Warszawa,2014,jpn,pol
"Mikanagi, Touya",Warszawa,2014,jpn,pol
"Lee, Linda Francis",Warszawa,2014,eng,pol
"Miłosz, Czesław",Milano,2013,pol,ita
"Toboso, Yana",Warszawa,2014,jpn,pol
"Minami, Maki",Warszawa,2014,jpn,pol
"Watanabe, Kana",Warszawa,2014,jpn,pol
"Katō, Kazue",Warszawa,2014,jpn,pol
"Motomi, Kyōsuke",Warszawa,2013,jpn,pol
"Sakisaka, Io.",Warszawa,2014,jpn,pol
Trevanian,Warszawa,2014,eng,pol
"Motomi, Kyōsuke",Warszawa,2014,jpn,pol
"Knausgå̊rd, Karl Ove",Kraków,2014,nor,pol
"Cullen, Lynn",Warszawa,2014,eng,pol
"Frączek, Agnieszka",,2013,pol,cze
"Worth, Jennifer",Kraków,2014,eng,pol
"Munro, Alice",Kraków,2014,eng,pol
"Głowacki, Janusz",Moskva,2013,pol,rus
[tł. Wojciech Tyszka].,Warszawa,2014,,pol
"Schalansky, Judith",Warszawa,2013,ger,pol
"Chaud, Benjamin",Warszawa,2013,fre,pol
"Vanden Heede, Sylvia",Warszawa,2014,dut,pol
"Vestly, Anne-Catharina",Warszawa,2014,nor,pol
"Grimm, Jacob",Kalisz,2014,ger,pol
[tł. Wojciech Tyszka].,Warszawa,2014,,pol
"Dziedzic, Daria Małgorzata",Poznań,2014,pol,pol
"Prøysen, Alf",Warszawa,2014,nor,pol
"Calì, Davide",Warszawa,2013,eng,pol
"Boyne, John",Warszawa,2013,eng,pol
"Tellegen, Toon",Warszawa,2013,dut,pol
"Norton, Mary",Warszawa,2014,eng,pol
"Mysen, Jane",Warszawa,2014,nor,pol
"Mysen, Jane",Warszawa,2014,nor,pol
"Hardy, Kristin",Warszawa,2014,eng,pol
"Martin, George R. R.",Poznań,2014,eng,pol
"Halter, Marek",Poznań,2014,fre,pol
"Høeg, Peter f.05-17",Poznań,2014,dan,pol
"Jordan, Robert",Poznań,2014,eng,pol
"Jemisin, N. K.",Warszawa,2014,eng,pol
przekł. i oprac. Tamara Michałowska,Wrocław,2013,,pol
"wybór, red. i wstęp Andriej Moskwin",Warszawa,2014,slo,pol
"Murakami, Haruki",Warszawa,2014,jpn,pol
"Lotz, Sarah",Warszawa,2014,eng,pol
"Nakajima, Atsushi",Wrocław,2014,jpn,pol
"Patrignani, Leonardo",Rzeszów,2013,ita,pol
"Baczewska, Izabela",,2014,pol,pol
"Porębski, Jerzy",Lyon,2013,pol,fre
"Pollakówna, Joanna",,2014,pol,fre
,Wieluń,2013,,pol
"Marshall, Joseph",Białystok,2014,eng,pol
"Gardner, Sally",Warszawa,2014,eng,pol
"Gardner, Sally",Warszawa,2014,eng,pol
"Gardner, Sally",Warszawa,2014,eng,pol
"Jones, Allan Frewin",Poznań,2014,eng,pol
"Revis, Beth",Poznań,2014,eng,pol
"McKain, Kelly",Poznań,2014,eng,pol
"Richter, William Harlan",Poznań,2014,eng,pol
"McKain, Kelly",Poznań,2014,eng,pol
"Blade, Adam",Poznań,2014,eng,pol
"Leitch, Patricia",Poznań,2014,eng,pol
"MacDonald, Alan",Poznań,2014,eng,pol
"MacDonald, Alan",Poznań,2014,eng,pol
"Cast, P. C.",Poznań,2014,eng,pol
"Cast, P. C.",Poznań,2014,eng,pol
"Miłosz, Czesław",Moskva,2013,pol,rus
"Delisle, Guy",Warszawa,2014,fre,pol
"Filiu, Jean-Pierre",Warszawa,2013,fre,pol
"Môdān, Rûtû",Warszawa,2013,heb,pol
"Färber, Markus",Warszawa,2014,ger,pol
wybór i przekł. Edward Białek.,Kraków,2013,ger,pol
"Scarrow, Simon",Poznań,2014,eng,pol
"Vitelli, Pietro",Kraków,2013,ita,pol
"Bentley, Sue",Warszawa,2014,eng,pol
"Koen, Karleen",Warszawa,2014,eng,pol
"Rinehart, Mary Roberts",Warszawa,2013,eng,pol
"Low, Robert",Poznań,2014,eng,pol
"Bodström, Thomas",Warszawa,2014,swe,pol
"Giacometti, Éric",Poznań,2014,fre,pol
"Ventrella, Rosa.",Warszawa,2014,ita,pol
"Gratton, Tessa",Wrocław,2014,eng,pol
"Bauer, Jon",Gliwice,2013,eng,pol
"Heller, Peter",Kraków,2013,eng,pol
"Gillard, Linda",Poznań,2014,eng,pol
"Bentley, Sue",Warszawa,2014,eng,pol
"Bentley, Sue",Warszawa,2014,eng,pol
"Webb, Holly",Poznań,2014,eng,pol
"Harvey, Sarah",Warszawa,2014,eng,pol
"Webb, Holly",Poznań,2014,eng,pol
"Ott, Thomas",Warszawa,2013,eng,pol
"Picard, Matthias",Warszawa,2013,fre,pol
idea i układ Jarosław Ławski,Białystok,2013,,pol
"Martins, Isabel Minhós",Warszawa,2013,por,pol
[tł. Patrycja Zarawska].,Bielsko-Biała,2014,eng,pol
[tł. Patrycja Zarawska].,Bielsko-Biała,2014,eng,pol
"Delahaye, Gilbert",Poznań,2014,fre,pol
"Delahaye, Gilbert",Poznań,2014,fre,pol
"Lâskovskij, Viktor L.",Raków,2014,rus,pol
"Delahaye, Gilbert",Poznań,2014,fre,pol
"Delahaye, Gilbert",Poznań,2014,fre,pol
[wybór bajek Siergiej Kuźmin,Raków,2014,rus,pol
"Lâskovskij, Viktor L.",Raków,2014,rus,pol
"Lâskovskij, Viktor L.",Raków,2014,rus,pol
"Lâskovskij, Viktor L.",Raków,2014,rus,pol
"Lâskovskij, Viktor L.",Raków,2014,rus,pol
"Laroche, Sophie",Bielsko-Biała,2014,fre,pol
"Grimm, Jacob",Warszawa,2014,ger,pol
il. Wiktor i Alisa Czajczuk i Aleksander Tkaczuk,Raków,2014,rus,pol
"Winkler, Axel",Łódź,2014,ger,pol
"Laroche, Sophie",Bielsko-Biała,2014,fre,pol
il. Wiktor i Alisa Czajczuk i Aleksander Tkaczuk,Raków,2014,rus,pol
"Lâskovskij, Viktor L.",Raków,2014,rus,pol
"Milne, A. A.",Warszawa,2014,eng,pol
"Quénot, Katherine",Bielsko-Biała,2014,fre,pol
"Milne, A. A.",Warszawa,2014,eng,pol
"Higgins, Chris",Bielsko-Biała,2014,eng,pol
"Higgins, Chris",Bielsko-Biała,2014,eng,pol
"Lovecraft, H. P.",Kraków,2013,eng,pol
"Pustovalova, Irina",Raków,2014,rus,pol
"Pustovalova, Irina",Raków,2014,rus,pol
"Lâskovskij, Viktor L.",Raków,2014,rus,pol
"Lâskovskij, Viktor L.",Raków,2014,rus,pol
"Szillat, Antje",Bielsko-Biała,2014,ger,pol
"[tekst Marek Šindelka, Vojtech Mašek, rys. Matěj Lipavský, Pure Beauty",Kraków,2013,cze,pol
"Szillat, Antje",Bielsko-Biała,2014,ger,pol
"Dobrakovová, Ivana",Wrocław,2013,slo,pol
"Berkane, Nadia",Bielsko-Biała,2014,fre,pol
"Doinet, Mymi",Bielsko-Biała,2014,fre,pol
"Bradford, Chris",Warszawa,2014,eng,pol
"Berkane, Nadia",Bielsko-Biała,2014,fre,pol
"Stambolova, Albena",Sejny,2013,bul,pol
"Doinet, Mymi",Bielsko-Biała,2014,fre,pol
"Berkane, Nadia",Bielsko-Biała,2014,fre,pol
"Berkane, Nadia",Bielsko-Biała,2014,fre,pol
"Berkane, Nadia",Bielsko-Biała,2014,fre,pol
"Volovici, Leon",Sejny,2013,rum,pol
"Dufresne, Didier",Bielsko-Biała,2014,fre,pol
"Balabán, Jan",Wrocław,2013,cze,pol
"Berkane, Nadia",Bielsko-Biała,2014,fre,pol
"Theden, Johanna",Warszawa,2014,ger,pol
"Rudiš, Jaroslav",Wrocław,2013,cze,pol
"Šmaus, Martin",Wrocław,2013,cze,pol
"Theden, Johanna",Warszawa,2014,ger,pol
"Schulz, Charles M",Warszawa,2014,eng,pol
"Lâskovskij, Viktor L.",Raków,2014,rus,pol
"Lâskovskij, Viktor L.",Raków,2014,rus,pol
"Theden, Johanna",Warszawa,2014,ger,pol
"Lâskovskij, Viktor L.",Raków,2014,rus,pol
"Lâskovskij, Viktor L.",Raków,2014,rus,pol
il. Irina i Władimir Pustowałowy,Raków,2014,rus,pol
il. Irina i Władimir Pustowałowy,Raków,2014,rus,pol
"Van Genechten, Guido",Warszawa,2014,dut,pol
"Theden, Johanna",Warszawa,2014,ger,pol
"Todorov, Vladislav",Sejny,2013,bul,pol
"Kušar, Meta",Mikołów,2013,slv,pol
Baba Tahir,Warszawa,2013,per,pol
"Coelho, Paulo",Warszawa,2014,por,pol
"Dudko, Bogdan",Białystok,2014,pol,pol
"Gizzi, Peter",Mikołów,2013,eng,pol
"Šalamun, Tomaž",Mikołów,2013,slv,pol
"Szymborska, Wisława",Kraków,2014,pol,pol
"Šrámková, Jana",Warszawa,2014,cze,pol
"Reszczyńska, Ewa",Katowice,2014,pol,pol
"Simic, Charles",Kraków,2014,eng,pol
"Cocco, Giovanni",Warszawa,2014,ita,pol
"Laclos, Choderlos de",Warszawa,2014,fre,pol
"Martí Martínez, David",Warszawa,2014,spa,pol
"Billingham, Mark",Warszawa,2014,eng,pol
"Eisner, Will",Warszawa,2014,eng,pol
"Berrow, G. M.",Warszawa,2014,eng,pol
"Delaby, Philippe",Warszawa,2014,fre,pol
"Carey, Mike",Warszawa,2014,eng,pol
"Smith, Zadie",Kraków,2014,eng,pol
"Albom, Mitch",Kraków,2014,eng,pol
"Crossley-holland, Kevin",Warszawa,2014,eng,pol
"Socci, Antonio",Kraków,2013,ita,pol
"Feldman, Thea",Warszawa,2014,eng,pol
"Feldman, Thea",Warszawa,2014,eng,pol
"Hapka, Cathy",Warszawa,2014,eng,pol
"Duralska-Macheta, Teresa",Warszawa,2014,eng,pol
"Hapka, Cathy",Warszawa,2014,eng,pol
"Layman, John",Warszawa,2014,eng,pol
Peyo,Warszawa,2014,fre,pol
"Marsoli, Lisa Ann",Warszawa,2014,eng,pol
"Stone, Rex",Warszawa,2013,eng,pol
"Stone, Rex",Warszawa,2013,eng,pol
"Astley, Neville",Warszawa,2014,eng,pol
"Hood, Susan",Warszawa,2014,eng,pol
,Warszawa,2014,eng,pol
"Lien, Merete",Warszawa,2014,nor,pol
"Lien, Merete",Warszawa,2014,nor,pol
adapt. Agnieszka Sprycha.,Warszawa,2014,eng,pol
"Lien, Merete",Warszawa,2014,nor,pol
[red. prowadzący Artur Skura,Warszawa,2014,eng,pol
"Mysen, Jane",Warszawa,2014,nor,pol
"Mysen, Jane",Warszawa,2014,nor,pol
"Steel, Danielle",Kraków,2014,eng,pol
"Cséby, Géza",Keszthely,2014,hun,hun
"[tł. Agnieszka Kowalewska, Maria Zawadzka].",Ożarów Mazowiecki,2014,spa,pol
"Haderlein, Ute",Ożarów Mazowiecki,2014,ger,pol
"Haderlein, Ute",Ożarów Mazowiecki,2014,ger,pol
"Lutz, Ute",Ożarów Mazowiecki,2014,ger,pol
"Lutz, Ute",Ożarów Mazowiecki,2014,ger,pol
[tł. Agata Ostrowska].,Ożarów Mazowiecki,2014,spa,pol
[tł. Katarzyna Stachowicz].,Ożarów Mazowiecki,2014,spa,pol
[il. Ray Cresswell].,Ożarów Mazowiecki,2014,ger,pol
[il. Ray Cresswell].,Ożarów Mazowiecki,2014,ger,pol
[il. Juan Vernet Gargallo,Ożarów Mazowiecki,2014,spa,pol
[tł. Anna Matusik-Dyjak].,Ożarów Mazowiecki,2014,fre,pol
il. Javier Inaraja,Ożarów Mazowiecki,2014,spa,pol
[tł. Rafał Rykowski].,Ożarów Mazowiecki,2014,spa,pol
"Hasekura, Isuna",Warszawa,2014,jpn,pol
"Takemiya, Yuyuko",Warszawa,2014,jpn,pol
"Läckberg, Camilla",Warszawa,2014,swe,pol
"Läckberg, Camilla",Warszawa,2014,swe,pol
"Adreani, Manuela",Ożarów Mazowiecki,2014,eng,pol
"Aki, Katsu",Warszawa,2014,jpn,pol
"Haderlein, Ute",Warszawa,2014,ger,pol
"Adreani, Manuela",Ożarów Mazowiecki,2014,ita,pol
"Haderlein, Ute",Warszawa,2014,ger,pol
"Grossetête, Charlotte",Ożarów Mazowiecki,2014,fre,pol
"Grossetête, Charlotte",Ożarów Mazowiecki,2014,fre,pol
"Grossetête, Charlotte",Ożarów Mazowiecki,2014,fre,pol
"Grossetête, Charlotte",Ożarów Mazowiecki,2014,fre,pol
[tł. Anna Matusik-Dyjak].,Ożarów Mazowiecki,2014,fre,pol
[tł. Anna Matusik-Dyjak].,Ożarów Mazowiecki,2014,fre,pol
[tł. Anna Matusik-Dyjak].,Ożarów Mazowiecki,2014,fre,pol
[tł. Anna Matusik-Dyjak].,Ożarów Mazowiecki,2014,fre,pol
"Lien, Merete",Warszawa,2014,nor,pol
"Mysen, Jane",Warszawa,2014,nor,pol
"Andersen, Hans Christian",Ożarów Mazowiecki,2014,dan,pol
"Haderlein, Ute",Ożarów Mazowiecki,2014,ger,pol
"Haderlein, Ute",Ożarów Mazowiecki,2014,ger,pol
[il. Ray Cresswell].,Ożarów Mazowiecki,2014,ger,pol
[tł. Bronisław K. Jakubowski].,Ożarów Mazowiecki,2014,spa,pol
[il. Ray Cresswell].,Ożarów Mazowiecki,2014,ger,pol
przeł. Aleksander Nawrocki.,Warszawa,2014,rus,pol
"red. Aleksej Karincev, Pavel Krupka, Aleksander Navrockij, Kšištof Zuhora.",Warszawa,2014,pol,pol
"Hylzen, Józef Jerzy",Vilnius,2013,pol,pol
"Morrison, Grant",Warszawa,2014,eng,pol
"Epes, Katja",Ożarów Mazowiecki,2014,ger,pol
"Epes, Katja",Ożarów Mazowiecki,2014,ger,pol
"Carle, Eric",Warszawa,2014,eng,pol
"Miller, Frank",Warszawa,2014,eng,pol
"Larssen, Trude Brænne",Warszawa,2013,nor,pol
"Larssen, Trude Brænne",Warszawa,2013,nor,pol
"Larssen, Trude Brænne",Warszawa,2013,nor,pol
"Larssen, Trude Brænne",Warszawa,2013,nor,pol
"[homujan ongordo N. I. Harlamp'eva, tylbaastara N. Harlamp'eva et al.].",,2014,pol,sah
"Larssen, Trude Brænne",Warszawa,2013,nor,pol
"Larssen, Trude Brænne",Warszawa,2013,nor,pol
"Larssen, Trude Brænne",Warszawa,2013,nor,pol
"Larssen, Trude Brænne",Warszawa,2013,nor,pol
"Kruse, Max",Warszawa,2013,ger,pol
"Chesterton, G. K.",Sandomierz,2014,eng,pol
"Ploessner, Jutta",Warszawa,2013,ger,pol
"Ploessner, Jutta",Warszawa,2013,ger,pol
"Ploessner, Jutta",Warszawa,2013,ger,pol
"Ploessner, Jutta",Warszawa,2013,ger,pol
"Ługinow, Nikołaj",Warszawa,2014,sah,pol
"Ploessner, Jutta",Warszawa,2013,ger,pol
"Ploessner, Jutta",Warszawa,2013,ger,pol
"Ploessner, Jutta",Warszawa,2013,ger,pol
"Ploessner, Jutta",Warszawa,2013,ger,pol
"Barrie, J. M.",Poznań,2014,,pol
"Saknussemm, Kris",Poznań,2014,eng,pol
"Haggard, H. Rider",Poznań,2014,eng,pol
"Bradbury, Luke",Warszawa,2013,eng,pol
"Long, Julie-Anne",Warszawa,2013,eng,pol
"Mysen, Jane",Warszawa,2014,nor,pol
"Kenner, Julie",Warszawa,2013,eng,pol
"Theden, Johanna",Warszawa,2014,ger,pol
"Theden, Johanna",Warszawa,2014,ger,pol
"Kaye, Laura",Warszawa,2013,eng,pol
"Beckett, Simon",Warszawa,2013,eng,pol
"Lien, Merete",Warszawa,2014,nor,pol
"Robert, Katee",Warszawa,2013,eng,pol
"York, Rebecca",Warszawa,2014,eng,pol
"Beckett, Simon",Warszawa,2013,eng,pol
"Sparks, Kerrelyn",Warszawa,2013,eng,pol
"Beckett, Simon",Warszawa,2013,eng,pol
"Clark, Aubrey",Warszawa,2014,eng,pol
"Fowler, Therese",Warszawa,2013,eng,pol
"Clark, Aubrey",Warszawa,2013,eng,pol
"Falconer, Daniel",Warszawa,2013,eng,pol
"Caine, Rachel",Warszawa,2014,eng,pol
"Armentrout, Jennifer L",Poznań,2014,eng,pol
"Sparks, Kerrelyn",Warszawa,2013,eng,pol
"Quinn, Cari",Warszawa,2013,eng,pol
"Caine, Rachel",Warszawa,2013,eng,pol
"Réage, Pauline",Warszawa,2013,fre,pol
"Tolkien, J. R. R.",Warszawa,2013,eng,pol
"Beckett, Simon",Warszawa,2013,eng,pol
"Tolkien, J. R. R.",Warszawa,2013,eng,pol
"Reaves, Michael",Warszawa,2013,eng,pol
"De Lis, Ana",Warszawa,2013,fre,pol
"Sibley, Brian",Warszawa,2013,eng,pol
"Landay, William",Warszawa,2013,eng,pol
"Steel, Danielle",Warszawa,2013,eng,pol
"Tolkien, J. R. R.",Warszawa,2013,eng,pol
"Cavalier, Emma",Warszawa,2013,fre,pol
"Tolkien, J. R. R.",Warszawa,2013,eng,pol
"Cleeves, Ann",Warszawa,2013,eng,pol
"Perec, Georges",Kraków,2014,fre,pol
"Doyle, Arthur Conan",Toruń,2013,eng,pol
"Cleeves, Ann",Warszawa,2013,eng,pol
"Rosen, Leonard J",Warszawa,2013,eng,pol
"Cleeves, Ann",Warszawa,2013,eng,pol
"Cussler, Clive",Warszawa,2013,eng,pol
"Rees, Rod",Warszawa,2013,eng,pol
"Maxwell, Gina L.",Warszawa,2013,eng,pol
"Kenner, Julie",Warszawa,2013,eng,pol
"Eriksson, Kjell",Warszawa,2013,swe,pol
"Kenner, Julie",Warszawa,2013,eng,pol
"Bradbury, Luke",Warszawa,2013,eng,pol
"Angelini, Josephine",Warszawa,2013,eng,pol
"Watson, Casey",Warszawa,2013,eng,pol
"Fawkes, Sara",Warszawa,2013,eng,pol
"Lynn, Cherrie",Warszawa,2013,eng,pol
"Robert, Katee",Warszawa,2013,eng,pol
"Brockmole, Jessica",Warszawa,2013,eng,pol
red. i oprac. Tomasz Kaczmarek.,Łódź,2014,fre,pol
"Mouzat, Éric",Warszawa,2013,fre,pol
"Thompson, James",Warszawa,2013,eng,pol
"Eriksson, Kjell",Warszawa,2013,swe,pol
"Watson, Casey",Warszawa,2013,eng,pol
"Cohen, Julie",Poznań,2014,eng,pol
"Jackson, Vina",Warszawa,2013,eng,pol
"Fisher, Jude",Warszawa,2013,eng,pol
"Robert, Katee",Warszawa,2013,eng,pol
"Kellerman, Jonathan",Warszawa,2013,eng,pol
"Lynn, Cherrie",Warszawa,2013,eng,pol
"Elkeles, Simone",Warszawa,2013,eng,pol
"Jackson, Vina",Warszawa,2013,eng,pol
"Jackson, Vina",Warszawa,2013,eng,pol
"Jackson, Vina",Warszawa,2013,eng,pol
"Watson, Casey",Warszawa,2013,eng,pol
"Tucker, K. A.",Poznań,2014,eng,pol
"Ono, Fuyumi",Warszawa,2014,jap,pol
"Roth, Veronica",Warszawa,2014,eng,pol
