author,publicationPlace,publicationYear,sourceLanguage,targetLanguage
"Röhrig, Tilman",Warszawa,2013,ger,pol
"Gerritsen, Tess",Warszawa,2021,eng,cze
"Laskey, Celia",Warszawa,2021,eng,pol
"Fisher, Helen E.",Warszawa,2021,eng,pol
"Lofting, Hugh",Katowice,2021,eng,
"Hickey, Christine Dwyer",Warszawa,2021,eng,pol
"Heath, Virginia",Warszawa,2021,eng,pol
"Graham, Lynne",Warszawa,2021,eng,pol
"Lawrence, Kim",Warszawa,2021,eng,pol
"Morey, Trish",Warszawa,2021,eng,pol
"King, Lucy",Warszawa,2021,eng,pol
"Tyner, Liz",Warszawa,2021,eng,pol
"Hagino, Makoto",Warszawa,,jpn,pol
"Ryan, Johnny",Warszawa,2021,eng,pol
"Kusanagi, Mizuho",Warszawa,2021,jpn,pol
"Takei, Hiroyuki",Warszawa,,jpn,pol
"Hagino, Makoto",Warszawa,2020,jpn,pol
"Kusanagi, Mizuho",Warszawa,2020,jpn,pol
"Honna, Wakou",Warszawa,2020,jpn,pol
"Kuwabara, Taku",Warszawa,2020,jpn,pol
"Sylvie Misslin, Amandine Piu",Warszawa,2021,fre,pol
"Andrews, V. C.",Warszawa,2021,eng,pol
"Claydon, Annie",Warszawa,2021,eng,pol
"Lemmon, Jessica",Warszawa,2021,eng,pol
"Morishita, Makoto",Warszawa,,jpn,pol
"Denzil, Sarah A.",Poznań,2021,eng,pol
"Słuchocka, Katarzyna",Poznań,2021,pol,pol
"Caine, Rachel",Poznań,2021,eng,pol
"Brookmyre, Chris",Warszawa,2021,eng,pol
"Penner, Sarah",Warszawa,2021,eng,cze
"Brown, Ryk",Piaseczno,2021,eng,
[redakcja i tłumaczenie: Karolina Tchórzewska].,Macierzysz,2021,,pol
[redakcja i tłumaczenie: Karolina Tchórzewska].,Macierzysz,2021,,pol
[redakcja i tłumaczenie: Karolina Tchórzewska].,Macierzysz,2021,,pol
[redakcja i tłumaczenie: Karolina Tchórzewska].,Macierzysz,2021,,pol
"Izumi, Ichimon",Warszawa,2020,jpn,pol
[redakcja i tłumaczenie: Karolina Tchórzewska].,Macierzysz,2021,,pol
"Mori, Kaoru",Warszawa,2020,jpn,pol
[redakcja i tłumaczenie: Karolina Tchórzewska].,Macierzysz,2021,,pol
"Hanselmann, Simon",Warszawa,2021,eng,pol
"Kuwabara, Taku",Warszawa,,jpn,pol
"Swank, Denise Grover",Białystok,2021,eng,pol
"Mashima, Hiro",Warszawa,2021,jpn,pol
"Mashima, Hiro",Warszawa,,jpn,pol
"Dobraczyński, Jan",Praha,2021,pol,cze
"Mashima, Hiro",Warszawa,2021,jpn,pol
"Morishita, Makoto",Warszawa,2021,jpn,pol
"Smethurst, Sue",Brno,2021,eng,cze
